,가게이름,카테고리,위치,평점,리뷰수,위도,경도
0,원조두꺼비집불오징어,해물 | 생선,서울 은평구 연서로28길 5 1 2층,4.3,206,37.6181437,126.9211158
1,구석집,호프 | 요리주점,서울 은평구 통일로83길 17-5 1층,3.7,157,37.6204811,126.9178797
2,백년가게 만포면옥 본점,한식,서울 은평구 연서로 171 1  2층,3.3,98,37.6141024,126.9174466
3,골목집갈비살,갈비,서울 은평구 연서로27길 12-9 1층,4.2,51,37.6183824,126.9184493
4,카페뤽상부르,커피전문점,서울 은평구 연서로25길 6-11 1  2층,3.8,100,37.6172218,126.9181467
5,접시고기,육류 | 고기,서울 은평구 연서로29길 22 1층,4.1,88,37.6194621,126.918087
6,휴식,이탈리안,서울 은평구 연서로26길 14 2층,4.0,122,37.61658329999999,126.9207396
7,YM커피프로젝트,커피전문점,서울 은평구 연서로29길 21-8 1층,4.5,21,37.6190949,126.9175418
8,화포식당,삼겹살,서울 은평구 연서로29길 20-15 1층,3.9,21,37.6198523,126.9186761
9,원조양평해장국 직영점,해장국,서울 은평구 연서로 203,3.3,39,37.6168751,126.9187588
10,부엉이산장,한식,서울 은평구 연서로25길 6-18 1층,4.2,155,37.61729070000001,126.9184889
11,쿠우쿠우 연신내점,해산물뷔페,서울 은평구 통일로 856 메트로타워 6층,3.7,152,37.619634,126.921408
12,갈현동할머니떡볶이,떡볶이,서울 은평구 통일로87길 8-1,3.3,38,37.6234426,126.9187509
13,목노집,족발 | 보쌈,서울 은평구 연서로28길 10,3.7,51,37.6177612,126.9209684
14,파술타,이탈리안,서울 은평구 통일로 883 1층,3.5,192,37.6217534,126.9194619
15,아웃닭 연신내점,치킨,서울 은평구 연서로29길 20-7 1층,4.5,34,37.6196497,126.9183981
16,보들이족발,족발 | 보쌈,서울 은평구 연서로 230-10 보들이족발,3.4,75,0,0
17,심야식당세이지,일식,서울 은평구 연서로27길 13-6,3.4,98,37.6178927,126.9177077
18,유라쿠,초밥 | 롤,서울 은평구 연서로 214,3.1,122,37.6175183,126.9199253
19,한판승부,일본식주점,서울 은평구 통일로83길 11-6 지층,4.8,34,37.6204727,126.9184371
20,823m,디저트카페,서울 은평구 연서로29길 21-9 1층,4.0,118,37.6188107,126.9179866
21,조개폭식 연신내점,조개,서울 은평구 연서로 208 1층,4.5,32,37.61691880000001,126.9194945
22,미각,샤브샤브,서울 은평구 연서로29길 10-1 1층,4.9,18,37.6190659,126.9190975
23,화로상회 갈현점,육류 | 고기,서울 은평구 연서로29길 34 1층,3.5,27,37.6199509,126.91686
24,싱싱연신내횟집,회,서울 은평구 연서로27길 17 1층,2.9,56,37.6180815,126.9174648
25,성일식당,갈비,서울 은평구 갈현로 306-8,4.6,116,37.6238961,126.9176965
26,마르,삼겹살,서울 은평구 연서로27길 16-13 1층,3.9,68,37.61867590000001,126.9180259
27,수정불막창 연신내점,곱창 | 막창,서울 은평구 연서로29길 11-9,3.4,61,37.6185134,126.9187838
28,삼대족발 연신내점,족발 | 보쌈,서울 은평구 연서로29길 14-18,2.9,29,37.61953219999999,126.9195359
29,후통마라탕,중식,서울 은평구 연서로29길 20,3.6,73,37.619326,126.9183711
30,비보,피자,서울 은평구 연서로29길 17-5 1층,4.2,4,37.6188109,126.9184068
31,다온상회,육류 | 고기,서울 은평구 통일로83길 14,4.7,60,37.6209472,126.9183045
32,중화원,중국요리,서울 은평구 연서로26길 9 1층,2.6,18,37.617039,126.9205144
33,플럽커피,카페,서울 은평구 연서로29길 7-11 3층,3.4,139,37.618342,126.9192518
34,자연담은화로 연신내점,육류 | 고기,서울 은평구 연서로27길 16-8,4.0,31,37.6183698,126.9181493
35,이름없는 파스타 연신내점,이탈리안,서울 은평구 연서로29길 30-3 1층,4.0,69,37.6199462,126.9171342
36,봉평 옹심이메밀칼국수,국수,서울 은평구 연서로 247,3.9,35,37.61966779999999,126.9221552
37,일로,일식,서울 은평구 연서로29길 21-3 1층,4.2,116,37.61908,126.9179816
38,원마산아구찜,아구,서울 은평구 통일로83길 11 1층,4.4,24,37.6207593,126.918544
39,떡산,분식,서울 은평구 연서로 247-1 1층,,117,37.6195049,126.9223716
40,맥도날드 연신내점,패스트푸드,서울 은평구 연서로 213,2.5,11,37.6175938,126.919214
41,달가득치킨,치킨,서울 은평구 연서로28길 10 1층,3.0,22,37.6177612,126.9209684
42,해례커피,커피전문점,서울 은평구 통일로83길 19,4.3,137,37.6206299,126.9176011
43,가이오국수 본점,국수,서울 은평구 연서로 132 1층,4.0,69,37.610494,126.9172735
44,H3비스트로,양식,서울 은평구 연서로27길 13-1 1층,4.0,2,37.617913,126.9178569
45,일미양꼬치 연신내점,양꼬치,서울 은평구 연서로29길 14-16,3.9,36,37.6194535,126.9194102
46,신간짬뽕,중국요리,서울 은평구 통일로85길 7-1 2층,4.1,4,37.6218729,126.9188303
47,왕십리곱창,곱창 | 막창,서울 은평구 연서로27길 13,4.2,18,37.6178807,126.9179797
48,연신내회수산,회,서울 은평구 통일로83길 6-5,3.4,14,37.6211915,126.9189047
49,탐나도다,카페,서울 은평구 통일로83길 5-14,4.5,12,37.620598,126.9187423
50,하기당,일본식주점,서울 은평구 통일로83길 5-8 2층,4.2,25,37.6205636,126.9191132
51,스타벅스 연신내역사거리점,커피전문점,서울 은평구 통일로 842,3.9,22,37.6186243,126.9220434
52,청어람 3호점,곱창 | 막창,서울 은평구 연서로27길 16-12,3.0,61,37.618538,126.9182216
53,갈현동떡볶이,떡볶이,서울 은평구 연서로29길 24,2.8,24,37.619564,126.9177038
54,어뮤즈멜로우,디저트카페,서울 은평구 연서로27길 20 2층,4.0,67,37.6183153,126.9175226
55,소담촌 구산직영점,샤브샤브,서울 은평구 서오릉로 145 상원빌딩 3층,3.5,30,37.6112479,126.9164652
56,까볼로,이탈리안,서울 은평구 연서로27길 16-14,4.2,19,37.6186324,126.9182927
57,코피티암,카페,서울 은평구 연서로27길 7-1 1 2층,3.4,32,37.6175858,126.9183362
