가게이름,카테고리,위치,평점,리뷰수
원조두꺼비집불오징어,해물 | 생선,서울 은평구 연서로28길 5 1 2층,4.3,206
구석집,호프 | 요리주점,서울 은평구 통일로83길 17-5 1층,3.7,157
백년가게 만포면옥 본점,한식,서울 은평구 연서로 171 1  2층,3.3,98
골목집갈비살,갈비,서울 은평구 연서로27길 12-9 1층,4.2,51
카페뤽상부르,커피전문점,서울 은평구 연서로25길 6-11 1  2층,3.8,100
접시고기,육류 | 고기,서울 은평구 연서로29길 22 1층,4.1,88
휴식,이탈리안,서울 은평구 연서로26길 14 2층,4.0,122
YM커피프로젝트,커피전문점,서울 은평구 연서로29길 21-8 1층,4.5,21
화포식당,삼겹살,서울 은평구 연서로29길 20-15 1층,3.9,21
원조양평해장국 직영점,해장국,서울 은평구 연서로 203,3.3,39
부엉이산장,한식,서울 은평구 연서로25길 6-18 1층,4.2,155
쿠우쿠우 연신내점,해산물뷔페,서울 은평구 통일로 856 메트로타워 6층,3.7,152
갈현동할머니떡볶이,떡볶이,서울 은평구 통일로87길 8-1,3.3,38
목노집,족발 | 보쌈,서울 은평구 연서로28길 10,3.7,51
파술타,이탈리안,서울 은평구 통일로 883 1층,3.5,192
아웃닭 연신내점,치킨,서울 은평구 연서로29길 20-7 1층,4.5,34
보들이족발,족발 | 보쌈,서울 은평구 연서로 230-10 보들이족발,3.4,75
심야식당세이지,일식,서울 은평구 연서로27길 13-6,3.4,98
유라쿠,초밥 | 롤,서울 은평구 연서로 214,3.1,122
한판승부,일본식주점,서울 은평구 통일로83길 11-6 지층,4.8,34
823m,디저트카페,서울 은평구 연서로29길 21-9 1층,4.0,118
조개폭식 연신내점,조개,서울 은평구 연서로 208 1층,4.5,32
미각,샤브샤브,서울 은평구 연서로29길 10-1 1층,4.9,18
화로상회 갈현점,육류 | 고기,서울 은평구 연서로29길 34 1층,3.5,27
싱싱연신내횟집,회,서울 은평구 연서로27길 17 1층,2.9,56
성일식당,갈비,서울 은평구 갈현로 306-8,4.6,116
마르,삼겹살,서울 은평구 연서로27길 16-13 1층,3.9,68
수정불막창 연신내점,곱창 | 막창,서울 은평구 연서로29길 11-9,3.4,61
삼대족발 연신내점,족발 | 보쌈,서울 은평구 연서로29길 14-18,2.9,29
후통마라탕,중식,서울 은평구 연서로29길 20,3.6,73
비보,피자,서울 은평구 연서로29길 17-5 1층,4.2,4
다온상회,육류 | 고기,서울 은평구 통일로83길 14,4.7,60
중화원,중국요리,서울 은평구 연서로26길 9 1층,2.6,18
플럽커피,카페,서울 은평구 연서로29길 7-11 3층,3.4,139
자연담은화로 연신내점,육류 | 고기,서울 은평구 연서로27길 16-8,4.0,31
이름없는 파스타 연신내점,이탈리안,서울 은평구 연서로29길 30-3 1층,4.0,69
봉평 옹심이메밀칼국수,국수,서울 은평구 연서로 247,3.9,35
일로,일식,서울 은평구 연서로29길 21-3 1층,4.2,116
원마산아구찜,아구,서울 은평구 통일로83길 11 1층,4.4,24
떡산,분식,서울 은평구 연서로 247-1 1층,,117
맥도날드 연신내점,패스트푸드,서울 은평구 연서로 213,2.5,11
달가득치킨,치킨,서울 은평구 연서로28길 10 1층,3.0,22
해례커피,커피전문점,서울 은평구 통일로83길 19,4.3,137
가이오국수 본점,국수,서울 은평구 연서로 132 1층,4.0,69
H3비스트로,양식,서울 은평구 연서로27길 13-1 1층,4.0,2
일미양꼬치 연신내점,양꼬치,서울 은평구 연서로29길 14-16,3.9,36
신간짬뽕,중국요리,서울 은평구 통일로85길 7-1 2층,4.1,4
왕십리곱창,곱창 | 막창,서울 은평구 연서로27길 13,4.2,18
연신내회수산,회,서울 은평구 통일로83길 6-5,3.4,14
탐나도다,카페,서울 은평구 통일로83길 5-14,4.5,12
하기당,일본식주점,서울 은평구 통일로83길 5-8 2층,4.2,25
스타벅스 연신내역사거리점,커피전문점,서울 은평구 통일로 842,3.9,22
청어람 3호점,곱창 | 막창,서울 은평구 연서로27길 16-12,3.0,61
갈현동떡볶이,떡볶이,서울 은평구 연서로29길 24,2.8,24
어뮤즈멜로우,디저트카페,서울 은평구 연서로27길 20 2층,4.0,67
소담촌 구산직영점,샤브샤브,서울 은평구 서오릉로 145 상원빌딩 3층,3.5,30
까볼로,이탈리안,서울 은평구 연서로27길 16-14,4.2,19
코피티암,카페,서울 은평구 연서로27길 7-1 1 2층,3.4,32
도화원,중국요리,서울 은평구 연서로 167,3.7,100
봉화가마솥설렁탕,설렁탕,서울 은평구 연서로29길 22-17 1층,4.8,13
스타벅스 연신내점,커피전문점,서울 은평구 통일로 867,4.4,31
옥탑방,삼겹살,서울 은평구 서오릉로 115 1층,4.4,356
오광참치,참치회,서울 은평구 갈현로36길 20 2층,3.8,15
오늘손칼국수앤찜 연신내점,국수,서울 은평구 연서로 187 1층,3.3,5
술있는부엌,술집,서울 은평구 연서로28길 16,3.9,44
소와연어,육류 | 고기,서울 은평구 연서로27길 20-4 1층,4.2,53
다슬기요리전문점,해장국,서울 은평구 연서로29길 8-11,2.5,37
로타리곱창타운,곱창 | 막창,서울 은평구 연서로27길 20-17 1층,3.7,85
전주대감감자탕뼈해장국,감자탕,서울 은평구 통일로83길 5-11,3.6,10
하남돼지집 연신내1호점,삼겹살,서울 은평구 연서로 200,3.1,10
할리스 연신내점,커피전문점,서울 은평구 연서로 212 1~3층,3.4,14
홍제동30년 우동국수,국수,서울 은평구 서오릉로 242,2.9,191
안동유진찜닭 연신내점,닭요리,서울 은평구 연서로29길 7-23,4.7,10
KFC 연신내역점,패스트푸드,서울 은평구 연서로 226-1,3.1,11
강씨네닭발,실내포장마차,서울 은평구 연서로 178-1 1층,4.6,61
옥이네김밥,분식,서울 은평구 연서로 247,3.4,40
카도야라멘 갈현점,일본식라면,서울 은평구 연서로29길 32 1층,3.4,27
아오리의행방불명 연신내점,일본식라면,서울 은평구 연서로 215-1 2층,3.9,23
투썸플레이스 연신내점,커피전문점,서울 은평구 연서로 223 2 3층,,5
연수식당,한식,서울 은평구 연서로27길 17-1,3.5,41
경주식당 연신내점,한식,서울 은평구 연서로27길 13-8,3.9,92
제이츠커피브루어스,카페,서울 은평구 연서로25길 20-3 1층,4.1,30
무명,일본식주점,서울 은평구 연서로29길 11-11,3.6,16
은행나무 갈현동1그루점,샤브샤브,서울 은평구 연서로 183-4,4.0,12
홍가네사골곰탕,곰탕,서울 은평구 통일로82길 15,4.0,21
메밀마을,한식,서울 은평구 연서로26길 23-1,4.5,21
유토피아룸카페,카페,서울 은평구 연서로27길 16-8 2층,5.0,0
그남자고깃집,육류 | 고기,서울 은평구 연서로 178,3.9,60
홍제동우동국수,국수,서울 은평구 통일로 803-1,4.0,5
요요라멘,일본식라면,서울 은평구 연서로29길 30-12 1층,4.6,23
꿀백,불고기 | 두루치기,서울 은평구 통일로83길 9 1층,4.2,27
두끼떡볶이 연신내점,떡볶이,서울 은평구 연서로 217 2층,4.2,7
라화방 연신내본점,중국요리,서울 은평구 연서로29길 30 1층,2.9,7
머스트,칵테일바,서울 은평구 연서로29길 17-4 2층,3.4,18
고기원칙 연신내점,육류 | 고기,서울 은평구 연서로29길 20-5,3.6,35
쿵푸양꼬치,양꼬치,서울 은평구 통일로 833-4 2층,3.6,27
푸딩 연신내점,분식,서울 은평구 연서로25길 20-6,4.5,65
은평갈비,갈비,서울 은평구 연서로29길 8-15 충남빌딩 2층,3.7,29
연신내 포항물회,회,서울 은평구 통일로83길 15-1 1층,,5
마마치킨 연신내점,치킨,서울 은평구 연서로29길 22-13 1~3층,4.0,19
곱창이어라,곱창 | 막창,서울 은평구 연서로29길 14-14 1층,3.7,80
멘야다이고미,일본식라면,서울 은평구 통일로 889 국용빌딩 1층,3.5,79
30CM왕돈까스,돈까스 | 우동,서울 은평구 연서로26길 27 지하1층 102호,4.4,25
쿠로,일식,서울 은평구 연서로 211-3 2층,4.2,150
한신포차 연신내점,실내포장마차,서울 은평구 연서로29길 14-13 1층,3.8,31
유진참치,참치회,서울 은평구 연서로29길 20-8,3.0,1
스낵바세이지,일본식주점,서울 은평구 연서로25길 20-4 1층,2.6,66
탕화쿵푸마라탕,중식,서울 은평구 연서로29길 17,3.8,1
코젤다크하우스 연신내점,호프 | 요리주점,서울 은평구 연서로29길 20-12 1 2층,3.4,12
봉삼스시 연신내1호점,초밥 | 롤,서울 은평구 통일로 863-20 1층,3.2,10
홍대칼국수와족발 연신내점,한식,서울 은평구 통일로 855-15 1층,3.3,37
춘천명가 닭갈비막국수 연신내,닭요리,서울 은평구 연서로29길 16,3.1,4
호박,호프 | 요리주점,서울 은평구 연서로27길 16-11,1.8,15
미분당 연신내점,베트남음식,서울 은평구 연서로 211-2 1층,4.4,77
1943 연신내점,호프 | 요리주점,서울 은평구 연서로29길 8 2층,3.0,20
다온카츠,돈까스 | 우동,서울 은평구 연서로29길 21-11 1층,4.1,224
